Variable String	Name	Default Unit
air_temp	Temperature	Celsius
dew_point_temperature	Dew Point	Celsius
relative_humidity	Relative Humidity	%
wind_speed	Wind Speed	m/s
wind_direction	Wind Direction	Degrees
wind_gust	Wind Gust	m/s
altimeter	Altimeter	Pascals
pressure	Pressure	Pascals
snow_depth	Snow depth	Millimeters
solar_radiation	Solar Radiation	W/m**2
soil_temp	Soil Temperature	Celsius
precip_accum	Precipitation accumulated	Millimeters
precip_accum_one_minute	Precipitation 1min	Millimeters
precip_accum_ten_minute	Precipitation 10min	Millimeters
precip_accum_fifteen_minute	Precipitation 15min	Millimeters
precip_accum_30_minute	Precipitation 30 min	Millimeters
precip_accum_one_hour	Precipitation 1hr	Millimeters
precip_accum_three_hour	Precipitation 3hr	Millimeters
sea_level_pressure	Sea level pressure	Pascals
water_temp	Water Temperature	Celsius
weather_cond_code	Weather conditions	code
cloud_layer_3_code	Cloud_layer_3 height/coverage	code
cloud_low_symbol	Low_cloud symbol	code
cloud_mid_symbol	Mid_cloud symbol	code
cloud_high_symbol	High_cloud symbol	code
pressure_tendency	Pressure Tendency	code
snow_accum	Snowfall	Millimeters
precip_storm	Precipitation storm	Millimeters
road_sensor_num	Road sensor number	
road_temp	Road Temperature	Celsius
road_freezing_temp	Road_Freezing Temperature	Celsius
road_surface_condition	Road_Surface Conditions	code
unknown	unknown	
cloud_layer_1_code	Cloud_layer_1 height/coverage	code
cloud_layer_2_code	Cloud_layer_2 height/coverage	code
precip_accum_six_hour	Precipitation 6hr	Millimeters
precip_accum_24_hour	Precipitation 24hr	Millimeters
visibility	Visibility	Statute miles
sonic_wind_direction	Sonic_Wind Direction	Degrees
metar_remark	Remarks	text
metar	Raw observation	text
air_temp_high_6_hour	6 Hr High Temperature	Celsius
air_temp_low_6_hour	6 Hr Low Temperature	Celsius
peak_wind_speed	Peak_Wind Speed	m/s
fuel_temp	Fuel Temperature	Celsius
fuel_moisture	Fuel Moisture	gm
ceiling	Ceiling	Meters
sonic_wind_speed	Sonic_Wind Speed	m/s
pressure_change_code	Pressure change	code
precip_smoothed	Precipitation smoothed	Millimeters
soil_temp_ir	IR_Soil Temperature	Celsius
temp_in_case	Temperature in_case	Celsius
soil_moisture	Soil Moisture	%
volt	Battery voltage	volts
created_time_stamp	Data Insert Date/Time	minutes
last_modified	Data Update Date/Time	minutes
snow_smoothed	Snow smoothed	Millimeters
precip_manual	Precipitation manual	Millimeters
precip_accum_manual	Precipitation 1hr manual	Millimeters
precip_accum_5_minute_manual	Precipitation 5min manual	Millimeters
precip_accum_10_minute_manual	Precipitation 10min manual	Millimeters
precip_accum_15_minute_manual	Precipitation 15min manual	Millimeters
precip_accum_3_hour_manual	Precipitation 3hr manual	Millimeters
precip_accum_6_hour_manual	Precipitation 6hr manual	Millimeters
precip_accum_24_hour_manual	Precipitation 24hr manual	Millimeters
snow_accum_manual	Snow manual	Millimeters
snow_interval	Snow interval	Millimeters
road_subsurface_tmp	Road Subsurface Temperature	Celsius
T_water_temp	Water Temperature	Celsius
evapotranspiration	Evapotranspiration	Millimeters
snow_water_equiv	Snow water equivalent	Millimeters
precipitable_water_vapor	Precipitable water vapor	Millimeters
air_temp_high_24_hour	24 Hr High Temperature	Celsius
air_temp_low_24_hour	24 Hr Low Temperature	Celsius
peak_wind_direction	Peak_Wind Direction	Degrees
net_radiation	Net Radiation	W/m**2
soil_moisture_tension	Soil Moisture tension	centibars
pressure_1500_meter	1500 m Pressure	Pascals
air_temp_wet_bulb	Wet bulb temperature	Celsius
air_temp_2m	Air_Temperature at_2_meters	Celsius
air_temp_10m	Air_Temperature at_10_meters	Celsius
surface_temp	Surface Temperature	Celsius
net_radiation_sw	Net Shortwave Radiation	W/m**2
